,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
153,三峽區,透天厝,加強磚造,85.78,7.0,2.0,5.0,5000000.0
154,三峽區,住宅大樓,鋼筋混凝土造,174.6,3.0,2.0,2.0,9430000.0
155,三峽區,公寓,鋼筋混凝土造,82.49,3.0,1.0,1.0,4200000.0
156,三峽區,華廈,鋼筋混凝土造,137.31,3.0,2.0,2.0,8750000.0
157,三峽區,住宅大樓,鋼筋混凝土造,93.52,3.0,2.0,2.0,6500000.0
158,三峽區,住宅大樓,鋼筋混凝土造,79.96,3.0,2.0,1.0,7000000.0
159,三峽區,住宅大樓,鋼筋混凝土造,98.42,2.0,2.0,1.0,7070000.0
160,三峽區,住宅大樓,鋼筋混凝土造,147.82,3.0,2.0,2.0,10000000.0
161,三峽區,住宅大樓,鋼筋混凝土造,104.81,2.0,1.0,1.0,8800000.0
162,三峽區,住宅大樓,鋼筋混凝土造,131.37,3.0,2.0,2.0,10220000.0
163,三峽區,華廈,鋼筋混凝土造,89.26,3.0,1.0,1.0,5370000.0
164,三峽區,住宅大樓,鋼筋混凝土造,155.27,3.0,2.0,2.0,13500000.0
165,三峽區,華廈,鋼筋混凝土造,66.37,2.0,1.0,1.0,5000000.0
166,三峽區,住宅大樓,鋼筋混凝土造,172.94,2.0,2.0,2.0,13350000.0
167,三峽區,住宅大樓,鋼筋混凝土造,92.03,2.0,1.0,1.0,7000000.0
168,三峽區,住宅大樓,鋼筋混凝土造,103.16,3.0,0.0,3.0,8100000.0
169,三峽區,公寓,鋼筋混凝土造,167.4,10.0,0.0,10.0,13080000.0
170,三峽區,公寓,鋼筋混凝土造,83.7,9.0,0.0,9.0,6800000.0
171,三峽區,華廈,鋼筋混凝土造,126.96,4.0,0.0,4.0,13140000.0
172,三峽區,華廈,鋼筋混凝土造,89.13,3.0,2.0,1.0,6500000.0
173,三峽區,華廈,鋼筋混凝土造,113.53,3.0,2.0,2.0,7500000.0
174,三峽區,公寓,鋼筋混凝土造,75.4,3.0,2.0,2.0,4675000.0
175,三峽區,住宅大樓,鋼筋混凝土造,100.23,2.0,2.0,1.0,8400000.0
176,三峽區,華廈,鋼筋混凝土造,124.37,3.0,2.0,2.0,9900000.0
177,三峽區,套房,鋼筋混凝土造,42.62,1.0,1.0,1.0,4300000.0
178,三峽區,住宅大樓,鋼筋混凝土造,70.13,2.0,2.0,1.0,5700000.0
179,三峽區,套房,鋼筋混凝土造,65.17,1.0,1.0,1.0,6150000.0
180,三峽區,住宅大樓,鋼筋混凝土造,49.33,2.0,1.0,1.0,4000000.0
181,三峽區,住宅大樓,鋼筋混凝土造,148.87,3.0,2.0,2.0,10800000.0
182,三峽區,公寓,鋼筋混凝土造,83.7,4.0,0.0,4.0,6800000.0
183,三峽區,住宅大樓,鋼筋混凝土造,157.59,3.0,2.0,2.0,12750000.0
184,三峽區,華廈,鋼筋混凝土造,149.07,3.0,2.0,2.0,7600000.0
185,三峽區,住宅大樓,鋼筋混凝土造,79.11,4.0,2.0,2.0,6210000.0
186,三峽區,住宅大樓,鋼筋混凝土造,106.59,2.0,2.0,1.0,8400000.0
187,三峽區,住宅大樓,鋼筋混凝土造,124.69,3.0,2.0,2.0,7300000.0
188,三峽區,套房,鋼筋混凝土造,75.22,1.0,1.0,1.0,6000000.0
189,三峽區,住宅大樓,鋼筋混凝土造,157.33,4.0,2.0,2.0,12600000.0
190,三峽區,華廈,鋼筋混凝土造,109.52,3.0,2.0,2.0,8500000.0
191,三峽區,華廈,鋼筋混凝土造,98.82,3.0,2.0,2.0,6350000.0
192,三峽區,套房,鋼筋混凝土造,42.62,1.0,1.0,1.0,4850000.0
193,三峽區,公寓,鋼筋混凝土造,81.34,1.0,1.0,1.0,5600000.0
194,三峽區,住宅大樓,鋼筋混凝土造,144.09,3.0,2.0,2.0,9000000.0
195,三峽區,公寓,鋼筋混凝土造,96.74,3.0,2.0,2.0,4600000.0
196,三峽區,華廈,鋼筋混凝土造,115.11,3.0,2.0,2.0,6135000.0
197,三峽區,住宅大樓,鋼筋混凝土造,107.6,3.0,2.0,2.0,7800000.0
198,三峽區,住宅大樓,鋼筋混凝土造,136.32,2.0,2.0,1.0,10580000.0
199,三峽區,住宅大樓,鋼筋混凝土造,135.3,3.0,2.0,2.0,11500000.0
200,三峽區,華廈,鋼筋混凝土造,78.03,3.0,1.0,1.0,5750000.0
201,三峽區,住宅大樓,鋼筋混凝土造,126.87,4.0,2.0,2.0,8280000.0
202,三峽區,住宅大樓,鋼筋混凝土造,109.44,2.0,2.0,1.0,6600000.0
203,三峽區,住宅大樓,鋼筋混凝土造,125.85,3.0,2.0,2.0,8420000.0
204,三峽區,住宅大樓,鋼筋混凝土造,151.05,3.0,2.0,2.0,11500000.0
205,三峽區,華廈,鋼筋混凝土造,116.58,3.0,2.0,2.0,8500000.0
206,三峽區,套房,鋼筋混凝土造,77.74,1.0,1.0,1.0,5400000.0
207,三峽區,公寓,鋼筋混凝土造,90.3,3.0,2.0,2.0,5500000.0
208,三峽區,住宅大樓,鋼筋混凝土造,102.96,3.0,0.0,3.0,8200000.0
209,三峽區,住宅大樓,鋼筋混凝土造,173.68,3.0,2.0,2.0,12000000.0
210,三峽區,住宅大樓,鋼筋混凝土造,68.12,2.0,1.0,1.0,4600000.0
211,三峽區,住宅大樓,鋼筋混凝土造,129.05,2.0,2.0,1.0,8550000.0
212,三峽區,住宅大樓,鋼筋混凝土造,112.83,3.0,2.0,2.0,8000000.0
213,三峽區,華廈,鋼筋混凝土造,115.11,3.0,2.0,2.0,6200000.0
214,三峽區,住宅大樓,鋼筋混凝土造,126.75,3.0,2.0,2.0,8450000.0
215,三峽區,華廈,鋼筋混凝土造,102.69,3.0,2.0,2.0,7200000.0
216,三峽區,公寓,鋼筋混凝土造,108.47,3.0,2.0,2.0,6040000.0
217,三峽區,華廈,鋼筋混凝土造,111.03,3.0,2.0,2.0,7000000.0
218,三峽區,住宅大樓,鋼筋混凝土造,165.3,3.0,2.0,2.0,10000000.0
219,三峽區,華廈,鋼筋混凝土造,73.88,2.0,1.0,1.0,5580000.0
220,三峽區,住宅大樓,鋼筋混凝土造,89.09,2.0,2.0,1.0,6750000.0
221,三峽區,住宅大樓,鋼筋混凝土造,97.47,3.0,2.0,2.0,5980000.0
222,三峽區,華廈,鋼筋混凝土造,82.15,2.0,1.0,1.0,5500000.0
223,三峽區,住宅大樓,鋼筋混凝土造,163.88,3.0,2.0,2.0,10200000.0
224,三峽區,住宅大樓,鋼筋混凝土造,82.55,2.0,1.0,1.0,5680000.0
225,三峽區,套房,鋼筋混凝土造,43.21,1.0,0.0,1.0,4050000.0
226,三峽區,住宅大樓,鋼筋混凝土造,113.37,3.0,2.0,1.0,8160000.0
227,三峽區,住宅大樓,鋼筋混凝土造,102.96,3.0,0.0,3.0,8000000.0
228,三峽區,套房,鋼筋混凝土造,74.35,1.0,1.0,1.0,7680000.0
229,三峽區,公寓,鋼筋混凝土造,89.98,3.0,2.0,1.0,5400000.0
230,三峽區,住宅大樓,鋼筋混凝土造,142.06,4.0,1.0,2.0,8600000.0
231,三峽區,華廈,鋼筋混凝土造,139.83,4.0,2.0,2.0,8880000.0
232,三峽區,住宅大樓,鋼筋混凝土造,164.0,4.0,2.0,2.0,9300000.0
233,三峽區,透天厝,加強磚造,98.88,3.0,2.0,2.0,4000000.0
234,三峽區,華廈,鋼筋混凝土造,121.09,3.0,2.0,1.0,7500000.0
235,三峽區,住宅大樓,鋼筋混凝土造,166.14,3.0,2.0,2.0,12600000.0
