鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土益也使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,編號
北區,房地(土地+建物),臺南市北區海安路3段A06棟10樓號,11.15,住,,,1060624,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6500000,68907,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟03樓號,15.21,住,,,1060626,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9950000,61389,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟04樓號,15.21,住,,,1060630,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9590000,59168,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟05樓號,11.15,住,,,1060709,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7700000,60331,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟14樓號,15.21,住,,,1060715,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9600000,59230,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟11樓號,15.14,住,,,1060711,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9970000,61680,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟06樓號,15.18,住,,,1061004,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10840000,66893,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A06棟04樓號,11.15,住,,,1060722,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7450000,58372,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟19樓號,15.18,住,,,1060728,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10210000,63165,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟15樓號,11.15,住,,,1060825,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8040000,62995,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟07樓號,15.14,住,,,1060825,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9630000,59577,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B02棟07樓號,11.15,住,,,1060827,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6810000,72370,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A02棟13樓號,11.15,住,,,1060828,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6920000,73359,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟19樓號,11.15,住,,,1060826,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8220000,64405,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟13樓號,15.14,住,,,1060902,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9730000,60195,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟20樓號,15.21,住,,,1060904,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10220000,63180,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟14樓號,15.14,住,,,1060906,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9840000,60876,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B06棟15樓號,11.15,住,,,1060909,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8170000,64129,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A06棟08樓號,11.15,住,,,1060909,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7810000,61193,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟09樓號,11.15,住,,,1061125,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8010000,62873,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟09樓號,15.14,住,,,1061125,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10180000,62979,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟15樓號,15.14,住,,,1060909,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10100000,62485,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟19樓號,15.21,住,,,1060930,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10760000,66387,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟06樓號,15.21,住,,,1061004,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9500000,58613,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟11樓號,15.21,住,,,1061012,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9980000,61696,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟17樓號,15.18,住,,,1061028,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9800000,60595,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟12樓號,15.14,住,,,1061014,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10080000,62361,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟15樓號,15.21,住,,,1061019,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10100000,62438,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟13樓號,15.21,住,,,1061017,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10000000,61698,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟09樓號,15.21,住,,,1061104,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10200000,63056,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟17樓號,15.21,住,,,1061028,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10140000,62685,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟20樓號,15.18,住,,,1061029,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10730000,66345,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟22樓號,15.18,住,,,1061029,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10880000,67273,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟19樓號,15.18,住,,,1061029,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10600000,65541,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟15樓號,15.21,住,,,1061022,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10270000,63364,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟04樓號,15.21,住,,,1061117,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9500000,58613,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B06棟10樓號,11.15,住,,,1061116,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6880000,73114,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟19樓號,15.21,住,,,1061120,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10680000,66024,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟06樓號,15.18,住,,,1061206,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9990000,61770,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟10樓號,15.21,住,,,1061125,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10040000,62067,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A06棟09樓號,11.15,住,,,1061128,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6600000,69967,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟10樓號,15.21,住,,,1061130,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9980000,61696,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A06棟15樓號,11.15,住,,,1061205,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8000000,62681,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟07樓號,15.18,住,,,1061205,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9990000,61770,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B06棟16樓號,11.15,住,,,1061205,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6900000,73326,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟09樓號,15.14,住,,,1061205,土地1建物1車位1,,,05,,,,,2,2,2,有,無,11160000,68906,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟21樓號,15.18,住,,,1061205,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10750000,66469,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟19樓號,11.15,住,,,1061208,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8270000,64914,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟09樓號,15.21,住,,,1061213,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10250000,63365,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟15樓號,15.21,住,,,1061225,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10430000,64478,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟17樓號,15.21,住,,,1061217,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10410000,64355,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟12樓號,15.21,住,,,1061224,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10080000,62315,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟24樓號,15.21,住,,,1061223,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10980000,67744,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟21樓號,15.18,住,,,1070108,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10720000,66320,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A03棟07樓號,15.21,住,,,1061226,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9990000,61636,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B02棟03樓號,11.15,住,,,1061231,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6660000,70776,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟22樓號,15.21,住,,,1070110,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10880000,67260,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟05樓號,15.18,住,,,1070107,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9380000,57998,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟19樓號,15.21,住,,,1070113,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10680000,66024,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟05樓號,15.21,住,,,1070113,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10200000,63056,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A06棟07樓號,11.15,住,,,1070118,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6670000,70709,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟06樓號,15.21,住,,,1070208,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10680000,66024,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟07樓號,15.18,住,,,1070205,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10950000,67572,,,,,,
