,District,MainMaterial,B_area,LivingR,BathR,Price,PropertyType2,log_Price,log_B_area
3995,新莊區,鋼筋混凝土造,87.81,2,2,5600000.0,公寓,15.538277155705378,4.475175389371905
3996,土城區,鋼筋混凝土造,119.33,2,2,10200000.0,華廈,16.1378982782545,4.781892764381564
3997,板橋區,鋼筋混凝土造,93.39,2,2,9700000.0,公寓,16.08763644347361,4.536784273121627
3998,板橋區,鋼筋混凝土造,65.8,2,2,6900000.0,公寓,15.747031969567487,4.186619838331271
3999,土城區,鋼筋混凝土造,28.22,0,0,2880000.0,住宅大樓,14.873300852112129,3.340030946424668
4000,土城區,鋼筋混凝土造,73.86,2,1,6200000.0,公寓,15.64005985001532,4.3021714094244174
4001,板橋區,鋼筋混凝土造,96.06,2,1,7550000.0,公寓,15.837058121225207,4.564972996236678
4002,汐止區,鋼筋混凝土造,134.32,2,2,10800000.0,住宅大樓,16.195056692094447,4.900225012769285
4003,汐止區,鋼筋混凝土造,41.99,1,1,1500000.0,住宅大樓,14.22097566607244,3.737431494696102
4004,新店區,鋼筋混凝土造,149.47,2,2,9700000.0,住宅大樓,16.08763644347361,5.007095703797723
4005,深坑區,鋼筋混凝土造,101.65,1,2,6700000.0,華廈,15.717618084361195,4.621535540074356
4006,五股區,鋼筋混凝土造,128.11,2,2,5900000.0,住宅大樓,15.590462908875947,4.852889269868342
4007,泰山區,鋼筋混凝土造,125.81,2,2,8910000.0,住宅大樓,16.002684799446993,4.83477283236304
4008,林口區,鋼筋混凝土造,164.54,2,2,7700000.0,住宅大樓,15.856730886823913,5.103153701740784
4009,新店區,鋼筋混凝土造,70.61,2,1,6700000.0,住宅大樓,15.717618084361195,4.257171777528256
4011,新店區,鋼筋混凝土造,56.09,1,2,4500000.0,華廈,15.319587954740548,4.026957543520246
4013,淡水區,鋼筋混凝土造,111.69,2,2,5700000.0,公寓,15.555976732804778,4.715727176552735
4014,淡水區,鋼筋混凝土造,117.43,2,2,6000000.0,住宅大樓,15.60727002719233,4.7658424113769895
4015,淡水區,鋼筋混凝土造,133.92,1,1,6850000.0,住宅大樓,15.739759210238407,4.897242606741165
4016,淡水區,鋼筋混凝土造,110.5,1,2,5800000.0,華廈,15.573368475516649,4.705015520957808
4017,淡水區,鋼筋混凝土造,158.15,0,4,6250000.0,華廈,15.648092021712584,5.063543949751658
4018,淡水區,鋼筋混凝土造,185.98,2,2,9660000.0,住宅大樓,16.0835042061887,5.225639141050051
4019,淡水區,鋼筋混凝土造,192.19,2,2,11110000.0,住宅大樓,16.22335616161581,5.258484466046314
4020,淡水區,鋼筋混凝土造,150.33,2,2,7860000.0,住宅大樓,15.87729716440539,5.012832877639743
4021,淡水區,鋼筋混凝土造,150.33,2,2,7760000.0,住宅大樓,15.8644928921594,5.012832877639743
4022,淡水區,鋼筋混凝土造,28.46,1,1,940000.0,套房,13.753635154246187,3.3484995926617063
4023,淡水區,鋼筋混凝土造,71.78,2,1,3200000.0,住宅大樓,14.978661367769956,4.273605885719461
4024,八里區,鋼筋混凝土造,106.18,2,2,6450000.0,華廈,15.679590688771956,4.665135767155525
