,District,L_area,MainMaterial,B_area,House/Building/Fang,LivingR,BathR,Price,PropertyType2,td,jw
4284,汐止區,5.01,鋼筋混凝土造,56.44,1.0,0.0,1.0,3950000.0,住宅大樓,1,1
4285,汐止區,4.55,鋼筋混凝土造,50.72,1.0,0.0,1.0,3720000.0,住宅大樓,1,1
4288,新店區,28.71,鋼筋混凝土造,134.48,6.0,0.0,6.0,13400000.0,公寓,1,1
4289,新店區,14.42,鋼筋混凝土造,96.55,3.0,1.0,2.0,7009512.0,住宅大樓,1,1
4290,新店區,23.95,鋼筋混凝土造,72.0,3.0,2.0,2.0,7000000.0,公寓,1,1
4291,新店區,24.6,鋼筋混凝土造,160.54,4.0,2.0,2.0,17000000.0,住宅大樓,1,1
4293,淡水區,45.39,鋼筋混凝土造,95.4,3.0,2.0,1.0,4360000.0,公寓,1,1
4295,淡水區,25.61,鋼筋混凝土造,211.57,4.0,2.0,2.0,10100000.0,住宅大樓,1,1
4296,淡水區,25.96,鋼筋混凝土造,214.59,4.0,2.0,2.0,10200000.0,住宅大樓,1,1
4297,淡水區,25.96,鋼筋混凝土造,214.59,4.0,2.0,2.0,10198000.0,住宅大樓,1,1
4298,淡水區,18.84,鋼筋混凝土造,155.55,3.0,2.0,2.0,8450000.0,住宅大樓,1,1
4300,八里區,14.35,鋼筋混凝土造,134.38,3.0,2.0,2.0,5000000.0,住宅大樓,1,1
4301,淡水區,15.87,鋼筋混凝土造,117.44,1.0,1.0,1.0,7080000.0,住宅大樓,1,1
4304,淡水區,2.6,鋼骨鋼筋混凝土造,41.6,1.0,0.0,1.0,1720000.0,公寓,1,1
4307,淡水區,13.4,鋼筋混凝土造,88.95,2.0,2.0,1.0,4300000.0,華廈,1,1
4310,淡水區,20.8,鋼筋混凝土造,145.89,3.0,2.0,2.0,8500000.0,住宅大樓,1,1
4314,淡水區,40.86,鋼筋混凝土造,123.05,0.0,0.0,0.0,5800000.0,公寓,1,1
4315,淡水區,26.07,鋼筋混凝土造,155.54,3.0,2.0,2.0,12000000.0,華廈,1,1
4316,淡水區,462.55,鋼筋混凝土造,372.68,4.0,3.0,4.0,36000000.0,透天厝,6,1
4317,淡水區,21.56,鋼筋混凝土造,101.44,3.0,2.0,2.0,5800000.0,公寓,1,1
4320,淡水區,23.61,鋼筋混凝土造,161.5,3.0,1.0,2.0,10030000.0,住宅大樓,1,1
4321,淡水區,23.61,鋼筋混凝土造,161.5,3.0,1.0,2.0,10300000.0,住宅大樓,1,1
4322,淡水區,23.61,鋼筋混凝土造,161.5,3.0,1.0,2.0,10290000.0,住宅大樓,1,1
4323,淡水區,23.61,鋼筋混凝土造,161.5,3.0,1.0,2.0,10320000.0,住宅大樓,1,1
4324,淡水區,15.87,鋼筋混凝土造,117.44,1.0,1.0,1.0,7560000.0,住宅大樓,1,1
4325,淡水區,39.01,鋼筋混凝土造,103.58,3.0,2.0,1.0,3100000.0,公寓,1,1
4326,淡水區,46.9,鋼筋混凝土造,142.28,3.0,2.0,2.0,5130000.0,公寓,2,1
4327,淡水區,29.44,鋼筋混凝土造,101.59,3.0,2.0,2.0,4800000.0,公寓,1,1
4329,淡水區,39.06,鋼筋混凝土造,83.27,2.0,2.0,1.0,3620000.0,住宅大樓,1,1
4330,淡水區,51.84,鋼筋混凝土造,232.75,4.0,2.0,2.0,16600000.0,住宅大樓,5,1
4331,淡水區,105.71,鋼筋混凝土造,254.53,4.0,3.0,2.0,14800000.0,透天厝,1,1
4332,新店區,12.54,鋼筋混凝土造,96.17,2.0,1.0,1.0,10330000.0,住宅大樓,1,1
4333,新店區,7.56,鋼筋混凝土造,58.01,2.0,1.0,1.0,6330000.0,住宅大樓,1,1
4334,新店區,39.02,加強磚造,100.74,3.0,2.0,1.0,11200000.0,公寓,1,1
4335,新店區,24.02,鋼筋混凝土造,96.22,3.0,2.0,2.0,10170000.0,公寓,1,1
4336,新店區,23.34,鋼筋混凝土造,140.22,2.0,1.0,2.0,10000000.0,住宅大樓,2,1
4337,新店區,25.07,鋼筋混凝土造,85.6,3.0,2.0,1.0,6500000.0,公寓,1,1
4338,新莊區,6.84,鋼筋混凝土造,75.7,2.0,2.0,2.0,5450000.0,住宅大樓,1,1
4342,泰山區,26.46,鋼筋混凝土造,146.53,3.0,1.0,2.0,10200000.0,住宅大樓,1,1
4346,汐止區,28.6,鋼筋混凝土造,89.63,3.0,2.0,1.0,8180000.0,公寓,3,1
4355,土城區,14.18,鋼筋混凝土造,100.58,1.0,2.0,1.0,9400000.0,住宅大樓,1,1
4356,板橋區,23.5,鋼筋混凝土造,66.0,2.0,1.0,1.0,5900000.0,公寓,1,1
4357,板橋區,11.35,鋼筋混凝土造,111.51,3.0,2.0,2.0,17380000.0,住宅大樓,1,1
4358,板橋區,14.14,鋼筋混凝土造,169.34,3.0,2.0,2.0,19600000.0,住宅大樓,1,1
4359,板橋區,87.0,加強磚造,173.04,5.0,2.0,3.0,18550000.0,透天厝,1,1
4362,土城區,16.57,鋼筋混凝土造,92.13,3.0,1.0,1.0,7500000.0,華廈,1,1
4363,板橋區,31.81,鋼筋混凝土造,247.31,4.0,2.0,3.0,30500000.0,住宅大樓,1,1
4364,板橋區,23.6,鋼筋混凝土造,94.8,3.0,2.0,1.0,7480000.0,公寓,1,1
4365,板橋區,5.76,鋼筋混凝土造,36.5,1.0,1.0,1.0,3800000.0,住宅大樓,1,1
4366,板橋區,14.12,鋼筋混凝土造,71.86,2.0,1.0,1.0,6300000.0,華廈,3,1
4367,板橋區,30.45,鋼筋混凝土造,98.54,4.0,1.0,2.0,14000000.0,公寓,1,1
4368,板橋區,21.21,鋼筋混凝土造,153.05,3.0,2.0,2.0,13900000.0,住宅大樓,1,1
4369,土城區,12.75,鋼筋混凝土造,71.01,3.0,2.0,1.0,6260000.0,華廈,1,1
4370,板橋區,18.89,鋼筋混凝土造,152.33,3.0,2.0,2.0,19000000.0,住宅大樓,1,1
4372,新莊區,19.25,鋼筋混凝土造,85.47,2.0,2.0,1.0,5600000.0,公寓,1,1
4373,新莊區,9.98,鋼筋混凝土造,69.44,2.0,1.0,1.0,4760000.0,住宅大樓,1,1
4376,泰山區,21.45,鋼筋混凝土造,134.5,3.0,2.0,2.0,10600000.0,華廈,1,1
4377,泰山區,14.76,鋼筋混凝土造,129.29,3.0,2.0,1.0,7000000.0,住宅大樓,1,1
4430,新莊區,32.65,鋼筋混凝土造,94.0,3.0,2.0,1.0,7820000.0,公寓,1,1
4446,五股區,15.4,鋼筋混凝土造,119.24,2.0,1.0,1.0,6350000.0,華廈,1,1
4447,新莊區,18.61,鋼筋混凝土造,57.32,2.0,1.0,1.0,4400000.0,公寓,1,1
4448,新莊區,9.33,鋼筋混凝土造,66.15,2.0,0.0,1.0,5700000.0,住宅大樓,1,1
4452,新莊區,29.49,加強磚造,94.95,3.0,3.0,3.0,6100000.0,公寓,1,1
4454,新莊區,21.19,鋼筋混凝土造,79.1,4.0,2.0,2.0,4600000.0,公寓,1,1
